message,category
Get rich quick with this simple method,spam
Urgent: Your product quality has declined significantly,complaint
Urgent: Click here for amazing weight loss pills Please help.,spam
"Hello, Please issue a refund to my account",refund_request
Help: I need to cancel and get my money returned Urgent!,refund_request
Question: Buy cheap medications online now Thank you.,spam
"CONGRATULATIONS! You've won $1,000,000!!! Thanks.",spam
"Hello, I need to cancel and get my money returned Please help.",refund_request
"Hello, I'm filing a formal complaint about this Thank you.",complaint
"Hello, My account has been locked ASAP",account_problem
Urgent: I'm filing a formal complaint about this Please help.,complaint
Help: I'm requesting a complete refund Thank you.,refund_request
"Hi, My account has been locked Urgent!",account_problem
Help: The quality does not match what was advertised Please help.,complaint
"Hi, CONGRATULATIONS! You've won $1,000,000!!!",spam
"Hi, Buy cheap medications online now ASAP",spam
Help: There's unauthorized activity on my account,account_problem
Question: This is completely unacceptable service Thanks.,complaint
Help: Free gift cards click here now Thanks.,spam
Help: There's unauthorized activity on my account Please help.,account_problem
"Hello, My account was suspended without notice Thanks.",account_problem
"Hi, I need to recover my account access",account_problem
"Hello, I'm getting an error message on the checkout page Thank you.",technical_issue
Help: Make money fast working from home Urgent!,spam
Question: I'm extremely unhappy with the customer service Urgent!,complaint
I need to recover my account access Thanks.,account_problem
Someone else is using my account,account_problem
Question: I can't access my account dashboard Urgent!,technical_issue
"Hi, Please issue a refund to my account Thanks.",refund_request
"Hello, Get rich quick with this simple method ASAP",spam
I can't log into my account,account_problem
Help: Free gift cards click here now,spam
"Hi, Someone else is using my account Thanks.",account_problem
"Hello, Please refund my payment immediately ASAP",refund_request
Question: Your staff was rude and unprofessional ASAP,complaint
Limited time offer act now or miss out Please help.,spam
I can't change my email address Urgent!,account_problem
Question: This service is terrible and I'm very disappointed ASAP,complaint
Urgent: I'm experiencing technical difficulties Thanks.,technical_issue
Question: I demand to speak to a manager immediately Thanks.,complaint
"Hi, You have been selected for a special offer",spam
"Hi, I demand to speak to a manager immediately Thank you.",complaint
I can't log into my account Thank you.,account_problem
"Hi, I want to return this and get my money back Thank you.",refund_request
Question: I demand to speak to a manager immediately,complaint
Urgent: Your staff was rude and unprofessional,complaint
This is completely unacceptable service ASAP,complaint
Help: I'm filing a formal complaint about this Urgent!,complaint
"Hi, My account has been locked Urgent!",account_problem
"Hello, This is completely unacceptable service",complaint
Help: I'm extremely unhappy with the customer service Urgent!,complaint
"Hi, Please refund my payment immediately Please help.",refund_request
"Hi, I want to return this and get my money back Thanks.",refund_request
I forgot my username and password Thank you.,account_problem
"Hi, I'm requesting a complete refund Urgent!",refund_request
Urgent: I demand to speak to a manager immediately,complaint
Help: Please process my refund as soon as possible Thanks.,refund_request
"Hi, This service is terrible and I'm very disappointed Please help.",complaint
Question: The website won't load properly on my browser,technical_issue
"Hello, I'm extremely unhappy with the customer service Thank you.",complaint
Question: My account settings won't save,account_problem
The page keeps showing a 404 error Thank you.,technical_issue
"Hi, Free gift cards click here now ASAP",spam
"Hello, My account has been locked Thank you.",account_problem
I'm filing a formal complaint about this Urgent!,complaint
"Hello, This is the worst experience I've ever had Thank you.",complaint
Question: My account was suspended without notice ASAP,account_problem
Help: I've been waiting for hours with no response Thank you.,complaint
Urgent: I'm having trouble uploading files Urgent!,technical_issue
Help: Limited time offer act now or miss out Please help.,spam
"Hi, You won't believe this one weird trick",spam
"Urgent: CONGRATULATIONS! You've won $1,000,000!!! Thank you.",spam
