message,category
URGENT: I'd like to provide feedback on your website Best regards,general
"Hi, I need to update my personal information Looking forward to your response.",hr
"Hi, I need information about the retirement plan Best regards",hr
"Dear Support Team, Can you add me to your mailing list Appreciate your help.",general
Quick question: There's an error in my billing statement Appreciate your help.,billing
"Hi, I need information about the retirement plan",hr
Quick question: I can't find the export feature,support
Need help: I need pricing for annual vs monthly plans Please help.,sales
URGENT: Do you offer volume discounts This is urgent.,sales
"Hello, I have a question about my benefits package",hr
"Hi, I have questions about intellectual property rights",legal
Quick question: There's an error in my billing statement Looking forward to your response.,billing
I'd like to schedule a product demo Thanks!,sales
Need help: I want to file a formal complaint Thanks!,complaint
"Hi, The application keeps crashing when I click submit Appreciate your help.",support
"Dear Support Team, I need access to the shared drive Looking forward to your response.",it
I've been waiting for weeks with no response Thanks!,complaint
Quick question: This is completely unacceptable service Thanks!,complaint
URGENT: I need to update my personal information,hr
"Hi, Can you send me a copy of our contract Please help.",legal
"Hi, I need to cancel my subscription and get a refund Best regards",billing
URGENT: Can you send me a copy of our contract Best regards,legal
Need help: I can't find the export feature,support
"Dear Support Team, Where is your office located Thank you for your assistance.",general
"Good morning, I was charged twice for my subscription Best regards",billing
I'd like to provide feedback on your website,general
"Hi, Can you clarify the liability clause Appreciate your help.",legal
"Good morning, Can you tell me more about your company",general
Quick question: I need help configuring the settings Please help.,support
"Good morning, This is not what was promised to me Best regards",complaint
"Hi, I want to file a formal complaint Thank you for your assistance.",complaint
Need help: Where is your office located Appreciate your help.,general
Need help: Can you provide a quote for 100 licenses Thank you for your assistance.,sales
Quick question: I can't find the export feature Please help.,support
"Hello, I want to discuss a partnership opportunity Please respond ASAP.",sales
"Dear Support Team, I have a question about my benefits package This is urgent.",hr
Quick question: The system is running very slowly Please help.,support
"Good morning, Can you provide a quote for 100 licenses Please help.",sales
"Dear Support Team, What are your pricing options for small businesses Looking forward to your response.",sales
What's included in the professional tier Thank you for your assistance.,sales
"Hello, Can you send me a copy of our contract Appreciate your help.",legal
Quick question: I need permissions for the database Best regards,it
URGENT: Can you send me an invoice for my recent purchase Best regards,billing
Quick question: Can you help me set up my new work phone Thank you for your assistance.,it
Quick question: I need to cancel my subscription and get a refund This is urgent.,billing
"Hello, Can you send me my employment verification letter Thanks!",hr
URGENT: I can't access the internal portal Thank you for your assistance.,it
Can you provide a quote for 100 licenses Looking forward to your response.,sales
Need help: My email is not syncing properly Please help.,it
I want to enroll in the health insurance plan Please help.,hr
"Hello, Can you add me to your mailing list Looking forward to your response.",general
Need help: Can I change my direct deposit information Looking forward to your response.,hr
Need help: I need software installed on my laptop Appreciate your help.,it
URGENT: The system is running very slowly Please help.,support
"Hello, I want to enroll in the health insurance plan Thank you for your assistance.",hr
URGENT: How do I reset my password Looking forward to your response.,support
"Hi, Can you send me an invoice for my recent purchase Please respond ASAP.",billing
"Good morning, I need the NDA template This is urgent.",legal
"Dear Support Team, What are your pricing options for small businesses This is urgent.",sales
"Hi, I was charged twice for my subscription This is urgent.",billing
